CustNum,Name,Sex,Age,State,Income,Clicks,LastSpend,Purchases,Spend
0,Brandon Bender,male,67,NSW,120000,709,$2488.59,8,$1615.00
1,Andre Mccormick,male,38,VIC,140000,630,$4295.34,14,$1927.20
2,Ashley Smith,female,47,NSW,50000,554,$1986.09,8,$1660.80
3,Ann Riley,female,33,NSW,100000,309,$1532.64,10,$3041.10
4,Timothy Chavez,male,49,NSW,140000,520,$2082.08,8,$1764.40
5,John Bennett,male,19,VIC,30000,167,$144.54,2,$596.75
6,Teresa Wise,female,49,QLD,40000,465,$502.20,3,$1316.90
7,Andrew Nelson,male,35,QLD,40000,475,$514.90,3,$761.60
8,Jon Aguilar,male,45,NSW,90000,955,$4220.14,9,$1600.80
9,Priscilla Briggs,female,34,NSW,60000,190,$527.82,6,$1943.70
10,Ashley Pittman,female,40,NSW,140000,196,$1170.32,12,$3676.50
11,Terri Stanton,female,70,NSW,160000,805,$6163.08,16,$5723.20
12,Cindy Kline,female,67,NSW,20000,849,$500.06,2,$810.60
13,Joel Richards,male,70,QLD,30000,972,$1029.35,3,$468.05
14,Stephen Stevens,male,31,SA,70000,210,$754.84,8,$1332.85
15,Kevin Turner,male,68,VIC,70000,511,$2553.98,10,$1374.25
16,Carlos Weber,male,25,NSW,100000,333,$1123.88,7,$1280.00
17,Norma Hernandez,female,29,VIC,20000,754,$627.33,2,$634.20
18,Thomas Ramirez,male,56,NSW,60000,701,$2294.37,7,$877.00
19,Diana Ross,female,52,VIC,60000,718,$1904.14,6,$1786.00
20,Sara Sanders,female,38,NSW,90000,502,$1511.27,6,$2783.20
21,John Evans,male,69,QLD,140000,190,$1210.30,13,$2466.20
22,Kevin Rios,male,38,NSW,50000,951,$2570.08,6,$878.90
23,Robert Swanson,male,58,NSW,30000,992,$1953.74,4,$573.65
24,Stacy Woodard,female,37,QLD,70000,296,$833.98,6,$2525.60
25,Trevor Hart,male,48,NSW,160000,546,$5285.28,20,$2770.00
26,Felicia Morris,female,33,QLD,30000,603,$991.33,4,$1080.00
27,Dawn Taylor,female,17,NSW,80000,45,$269.46,12,$2265.00
28,Kelli Hamilton DDS,female,20,NSW,60000,497,$2133.62,9,$2082.40
29,Angela Lozano,female,17,VIC,140000,883,$6656.94,16,$3943.10
30,Melinda Lowe,female,24,VIC,100000,69,$223.91,7,$3323.20
31,Suzanne Webster,female,60,WA,80000,334,$844.35,6,$2905.00
32,Barry Wood,male,69,NSW,140000,45,$352.17,15,$2448.60
33,Lisa Gonzalez,female,49,QLD,160000,603,$4843.30,17,$4047.40
34,Angela Carter,female,37,VIC,40000,773,$1802.64,5,$1199.90
35,Heather Watson,female,27,VIC,30000,217,$420.87,4,$900.00
36,Brandi Kent,female,57,NSW,160000,935,$8332.72,18,$5091.10
37,Jacob Sanders,male,65,NSW,70000,8,$39.76,8,$1104.00
38,Kyle Grimes,male,50,VIC,120000,550,$2270.40,9,$1831.60
39,Timothy Joseph,male,57,VIC,40000,932,$1254.47,3,$560.70
40,Jeremy Flowers,male,62,NSW,40000,759,$1669.80,5,$706.30
41,Kevin Clayton,male,48,QLD,90000,822,$4634.85,12,$1435.50
42,Kendra Morales,female,53,NSW,40000,480,$959.04,4,$1103.70
43,Dawn Braun,female,20,NSW,70000,300,$1289.40,9,$2347.40
44,Scott Jacobs,male,59,SA,140000,327,$3360.25,21,$2257.20
45,Wanda Miller,female,28,VIC,40000,343,$463.74,3,$1290.90
46,Curtis Johnson,male,58,VIC,70000,46,$89.68,4,$1319.05
47,Gerald Petty,male,43,VIC,160000,696,$3730.56,11,$2480.00
48,Kyle Dorsey,male,69,NSW,160000,877,$7885.98,18,$2317.50
49,Shannon Bishop,female,54,NSW,90000,874,$3319.45,8,$2987.60
50,Jeffrey Green,male,52,NSW,90000,852,$3040.36,8,$1276.00
51,Brooke Hall,female,50,VIC,70000,211,$694.19,7,$2259.40
52,Penny Robbins,female,61,NSW,30000,250,$504.75,5,$1130.00
53,John Chan,male,31,NSW,160000,525,$3507.00,14,$2662.50
54,Michael Turner,male,65,QLD,20000,513,$350.89,2,$349.20
55,Cassandra Taylor,female,35,VIC,30000,820,$1036.89,3,$1107.00
56,Sydney Avery,female,71,VIC,160000,892,$5872.93,14,$4336.50
57,Crystal Wright,female,20,QLD,60000,835,$2865.72,7,$2065.30
58,James Robinson,male,51,NSW,100000,217,$922.25,9,$1872.00
59,Joseph Reed,male,28,NSW,140000,566,$2044.39,8,$1779.80
60,David Hines,male,42,VIC,80000,339,$1986.54,12,$1471.60
61,Patricia Deleon,female,52,NSW,90000,604,$1405.21,5,$2268.00
62,Caleb Montes,male,52,NSW,50000,214,$290.50,3,$867.00
63,Jason Gates,male,55,SA,30000,738,$970.84,3,$487.85
64,Kayla Johnson,female,33,VIC,140000,353,$2520.42,15,$3569.00
65,Alan Williams,male,46,QLD,20000,295,$414.18,3,$357.20
66,Katherine Brown,female,34,VIC,50000,179,$344.13,4,$1411.20
67,Eric English,male,34,NSW,140000,643,$4991.61,16,$1991.00
68,Marissa Fuller,female,54,SA,90000,434,$1300.70,6,$2861.60
69,Sean Friedman,male,21,QLD,120000,583,$4960.16,17,$1844.90
70,Jennifer Ramos,female,27,NSW,80000,922,$3794.95,9,$2422.50
71,Ariel Davis,female,60,NSW,100000,876,$6434.22,15,$2594.70
72,Dr. John Charles,male,65,NSW,30000,617,$889.41,3,$659.45
73,Leslie Robinson,female,67,VIC,140000,564,$2696.48,10,$4699.90
74,Sandra Webster,female,68,NSW,80000,960,$4358.40,10,$2040.00
75,Grant Lewis,male,49,SA,50000,794,$1599.91,5,$686.80
76,Sarah Grant,female,38,QLD,120000,835,$4714.41,12,$4114.40
77,Anita Miller,female,57,NSW,70000,363,$1539.85,9,$1865.60
78,Joanne Thornton,female,24,NSW,30000,582,$577.93,2,$816.00
79,Johnny Miller,male,66,QLD,80000,858,$1777.78,5,$1319.50
80,Christopher Trevino,male,30,NSW,160000,640,$4823.04,16,$2895.00
81,James Wade,male,61,NSW,120000,583,$2738.93,10,$1770.80
82,Tiffany Dominguez,female,71,VIC,60000,254,$611.12,5,$1681.50
83,Lauren Singh,female,19,NSW,60000,887,$1463.55,4,$1858.20
84,Christina Parker,female,46,ACT,140000,667,$6550.61,20,$4927.80
85,Timothy Odonnell,male,42,SA,60000,456,$1593.72,7,$1065.00
86,Lynn Cook,female,28,NSW,70000,637,$1946.35,7,$2169.20
87,Rodney Ortiz,male,34,QLD,60000,980,$3298.68,7,$886.00
88,Curtis Watts,male,71,NSW,40000,581,$1121.33,4,$769.30
89,Elizabeth Watson,female,54,NSW,60000,568,$1622.21,6,$1824.00
90,Rita Le,female,51,NSW,60000,460,$1057.08,5,$2257.20
91,Christopher Bryant,male,47,QLD,140000,48,$187.82,8,$2479.40
92,James Jenkins,male,55,NSW,120000,156,$1404.00,18,$1801.20
93,Christopher Ryan,male,65,NSW,90000,247,$1210.42,10,$1589.20
94,Brendan Carney,male,54,NSW,20000,150,$94.80,2,$345.20
95,Brian Hart,male,21,NSW,50000,387,$737.24,4,$946.05
96,Robert Walters,male,44,NSW,50000,49,$86.85,4,$981.75
97,James Brooks,male,58,VIC,100000,312,$1188.72,8,$1840.00
98,Lisa Williams,female,37,NSW,100000,369,$1780.42,10,$3685.90
99,Norma Phillips,female,42,QLD,100000,727,$3020.68,9,$2693.90
100,Wesley Bennett,male,42,VIC,20000,709,$824.57,3,$428.40
101,Kelly Cox,female,72,NSW,90000,61,$137.25,5,$3217.20
102,Megan Hancock,female,67,NSW,30000,518,$829.84,4,$1190.00
103,Elizabeth Clarke,female,20,QLD,30000,298,$375.48,3,$1143.00
104,Xavier Pollard,male,45,VIC,80000,333,$1682.32,11,$1180.40
105,Rachel Smith,female,73,VIC,80000,656,$1393.34,5,$2597.50
106,Morgan Cooke,female,53,VIC,20000,417,$388.64,2,$619.50
107,Virginia Santana,female,18,VIC,50000,268,$340.36,3,$1451.20
108,Robert Johnson,male,57,QLD,40000,346,$417.97,3,$751.10
109,Stefanie Dalton,female,28,VIC,80000,772,$4141.01,11,$2962.50
110,Mary Carson,female,37,NSW,20000,428,$452.40,3,$706.30
